group_id,m,n,s,seed,method,UB,Time (s),SGap (%)
1,100,30000,5,23,Adaptive_IHT,0.594790440310413,2.050462007522583,24.624721453270478
1,100,30000,5,23,IHT,1.5638547520199395,35.644577980041504,71.32907292537051
1,100,30000,5,23,Partial_Sparse_Simplex,0.4483003264318395,3.0945611000061035,0.0
1,100,30000,5,24,Adaptive_IHT,1.9787091291517664,1.2390758991241455,46.14144245194196
1,100,30000,5,24,IHT,4.015198035841436,34.99396204948425,73.45756045809705
1,100,30000,5,24,Partial_Sparse_Simplex,1.0656580535904303,1.7451179027557373,0.0
1,100,30000,5,25,Adaptive_IHT,0.22933279748964955,1.1439239978790283,0.0
1,100,30000,5,25,IHT,4.27755499317932,38.41845512390137,94.63648195435401
1,100,30000,5,25,Partial_Sparse_Simplex,0.7838830674291685,1.3247160911560059,70.73498050895361
1,100,30000,5,26,Adaptive_IHT,0.9655648500600771,1.431006908416748,13.02064166581337
1,100,30000,5,26,IHT,3.0068772907972097,38.057535886764526,72.06732844934926
1,100,30000,5,26,Partial_Sparse_Simplex,0.8398290902410405,2.9297149181365967,0.0
1,100,30000,5,27,Adaptive_IHT,1.5095307632038737,1.0192089080810547,0.0
1,100,30000,5,27,IHT,4.757211119680375,36.23520088195801,68.26714239985844
1,100,30000,5,27,Partial_Sparse_Simplex,2.2650389352756966,1.2960870265960693,33.353723266421525
2,100,30000,10,23,Adaptive_IHT,0.9182259023049619,1.3167541027069092,0.0
2,100,30000,10,23,IHT,4.957626667000878,35.527931928634644,81.4768751085567
2,100,30000,10,23,Partial_Sparse_Simplex,0.9761856424717331,9.12128496170044,5.936760477192958
2,100,30000,10,24,Adaptive_IHT,1.1254320538206561,1.42728590965271,4.0458844950595925
2,100,30000,10,24,IHT,5.204014980213784,36.58559703826904,79.24730081724992
2,100,30000,10,24,Partial_Sparse_Simplex,1.0798943269682004,5.897897005081177,0.0
2,100,30000,10,25,Adaptive_IHT,0.6662545664874097,2.4994640350341797,0.0
2,100,30000,10,25,IHT,10.022940387669495,39.14914584159851,93.35177210991617
2,100,30000,10,25,Partial_Sparse_Simplex,0.6757319245920262,4.994035959243774,1.4023247141421593
2,100,30000,10,26,Adaptive_IHT,0.7859597261816323,1.1231050491333008,0.0
2,100,30000,10,26,IHT,4.198691371185499,34.955403089523315,81.27890488734396
2,100,30000,10,26,Partial_Sparse_Simplex,0.9525094427972199,7.750921010971069,17.483525685671868
2,100,30000,10,27,Adaptive_IHT,1.0733154068609096,1.2135300636291504,0.0
2,100,30000,10,27,IHT,4.647236563287599,35.840996980667114,76.90256790651809
2,100,30000,10,27,Partial_Sparse_Simplex,1.0776514175908523,4.7132768630981445,0.40232011381948296
3,100,30000,20,23,Adaptive_IHT,1.428117585710356,2.2344930171966553,1.882892364429252
3,100,30000,20,23,IHT,8.149223879349277,36.29407095909119,82.804392038061
3,100,30000,20,23,Partial_Sparse_Simplex,1.40122578584158,32.10612392425537,0.0
3,100,30000,20,24,Adaptive_IHT,0.9696085219915206,1.4342198371887207,0.0
3,100,30000,20,24,IHT,8.149337049941453,36.42152404785156,88.10091401345953
3,100,30000,20,24,Partial_Sparse_Simplex,1.0697033967261353,15.482073068618774,9.356380344363272
3,100,30000,20,25,Adaptive_IHT,0.758489187619988,1.900521993637085,0.0
3,100,30000,20,25,IHT,5.307557239399474,35.50880217552185,85.70764551280978
3,100,30000,20,25,Partial_Sparse_Simplex,1.642311408686568,18.449639081954956,53.81247453543752
3,100,30000,20,26,Adaptive_IHT,0.3321795926361472,1.5049469470977783,0.0
3,100,30000,20,26,IHT,3.500113612776877,35.93959903717041,90.50687673965889
3,100,30000,20,26,Partial_Sparse_Simplex,0.5639649098756164,23.310917854309082,41.0919582447667
3,100,30000,20,27,Adaptive_IHT,0.680881681583813,2.2988789081573486,0.0
3,100,30000,20,27,IHT,4.00325973924504,39.09689497947693,82.98974546533674
3,100,30000,20,27,Partial_Sparse_Simplex,0.9950995193751003,22.58026099205017,31.57335103905487
4,100,50000,5,23,Adaptive_IHT,2.633210585832399e-10,3.1299030780792236,0.0
4,100,50000,5,23,IHT,2.9127850924692065,62.92743515968323,99.99656696848153
4,100,50000,5,23,Partial_Sparse_Simplex,0.1506967639954961,4.932147026062012,99.93368540499714
4,100,50000,5,24,Adaptive_IHT,3.1723010871326607,2.782210111618042,17.09038347227293
4,100,50000,5,24,IHT,9.742159897572392,61.20802712440491,73.00189479939309
4,100,50000,5,24,Partial_Sparse_Simplex,2.6301255760631337,5.302371025085449,0.0
4,100,50000,5,25,Adaptive_IHT,0.6140524778531881,2.2884960174560547,14.370209626119706
4,100,50000,5,25,IHT,3.342887607071358,62.615772008895874,84.26863808141988
4,100,50000,5,25,Partial_Sparse_Simplex,0.5257974793616765,2.723417043685913,0.0
4,100,50000,5,26,Adaptive_IHT,0.051436548527984925,2.512377977371216,0.0
4,100,50000,5,26,IHT,2.5969882310269803,61.10801696777344,98.01560270797555
4,100,50000,5,26,Partial_Sparse_Simplex,0.24138537566740054,4.119019031524658,78.65852191440091
4,100,50000,5,27,Adaptive_IHT,1.2275066565977035,2.3555049896240234,24.401312463241243
4,100,50000,5,27,IHT,3.955764897014008,66.84993696212769,76.53978220534606
4,100,50000,5,27,Partial_Sparse_Simplex,0.927954520501749,4.496957063674927,0.0
5,100,50000,10,23,Adaptive_IHT,0.38757078552502416,3.1839311122894287,0.0
5,100,50000,10,23,IHT,5.445716599470138,64.22919583320618,92.88131029673782
5,100,50000,10,23,Partial_Sparse_Simplex,1.0277538917803906,15.359655141830444,62.283473495097375
5,100,50000,10,24,Adaptive_IHT,0.6729056504781322,3.0760650634765625,0.0
5,100,50000,10,24,IHT,5.032710343195387,65.70297408103943,86.62763735200018
5,100,50000,10,24,Partial_Sparse_Simplex,0.7661398080877087,11.579020023345947,12.167751743707926
5,100,50000,10,25,Adaptive_IHT,0.8711975295897767,4.090512990951538,0.0
5,100,50000,10,25,IHT,8.08277115214907,65.43350911140442,89.22044514642403
5,100,50000,10,25,Partial_Sparse_Simplex,1.6781532236461298,13.457608938217163,48.08307129618866
