group_id,m,n,s,seed,method,UB,Time
1,100,30000,5,23,IHT,1.5638547520199395,35.644577980041504
1,100,30000,5,23,Adaptive_IHT,0.594790440310413,2.050462007522583
1,100,30000,5,23,Partial_Sparse_Simplex,0.4483003264318395,3.0945611000061035
1,100,30000,5,24,IHT,4.015198035841436,34.99396204948425
1,100,30000,5,24,Adaptive_IHT,1.9787091291517664,1.2390758991241455
1,100,30000,5,24,Partial_Sparse_Simplex,1.0656580535904303,1.7451179027557373
1,100,30000,5,25,IHT,4.27755499317932,38.41845512390137
1,100,30000,5,25,Adaptive_IHT,0.22933279748964955,1.1439239978790283
1,100,30000,5,25,Partial_Sparse_Simplex,0.7838830674291685,1.3247160911560059
1,100,30000,5,26,IHT,3.0068772907972097,38.057535886764526
1,100,30000,5,26,Adaptive_IHT,0.9655648500600771,1.431006908416748
1,100,30000,5,26,Partial_Sparse_Simplex,0.8398290902410405,2.9297149181365967
1,100,30000,5,27,IHT,4.757211119680375,36.23520088195801
1,100,30000,5,27,Adaptive_IHT,1.5095307632038737,1.0192089080810547
1,100,30000,5,27,Partial_Sparse_Simplex,2.2650389352756966,1.2960870265960693
2,100,30000,10,23,IHT,4.957626667000878,35.527931928634644
2,100,30000,10,23,Adaptive_IHT,0.9182259023049619,1.3167541027069092
2,100,30000,10,23,Partial_Sparse_Simplex,0.9761856424717331,9.12128496170044
2,100,30000,10,24,IHT,5.204014980213784,36.58559703826904
2,100,30000,10,24,Adaptive_IHT,1.1254320538206561,1.42728590965271
2,100,30000,10,24,Partial_Sparse_Simplex,1.0798943269682004,5.897897005081177
2,100,30000,10,25,IHT,10.022940387669495,39.14914584159851
2,100,30000,10,25,Adaptive_IHT,0.6662545664874097,2.4994640350341797
2,100,30000,10,25,Partial_Sparse_Simplex,0.6757319245920262,4.994035959243774
2,100,30000,10,26,IHT,4.198691371185499,34.955403089523315
2,100,30000,10,26,Adaptive_IHT,0.7859597261816323,1.1231050491333008
2,100,30000,10,26,Partial_Sparse_Simplex,0.9525094427972199,7.750921010971069
2,100,30000,10,27,IHT,4.647236563287599,35.840996980667114
2,100,30000,10,27,Adaptive_IHT,1.0733154068609096,1.2135300636291504
2,100,30000,10,27,Partial_Sparse_Simplex,1.0776514175908523,4.7132768630981445
3,100,30000,20,23,IHT,8.149223879349277,36.29407095909119
3,100,30000,20,23,Adaptive_IHT,1.428117585710356,2.2344930171966553
3,100,30000,20,23,Partial_Sparse_Simplex,1.40122578584158,32.10612392425537
3,100,30000,20,24,IHT,8.149337049941453,36.42152404785156
3,100,30000,20,24,Adaptive_IHT,0.9696085219915206,1.4342198371887207
3,100,30000,20,24,Partial_Sparse_Simplex,1.0697033967261353,15.482073068618774
3,100,30000,20,25,IHT,5.307557239399474,35.50880217552185
3,100,30000,20,25,Adaptive_IHT,0.758489187619988,1.900521993637085
3,100,30000,20,25,Partial_Sparse_Simplex,1.642311408686568,18.449639081954956
3,100,30000,20,26,IHT,3.500113612776877,35.93959903717041
3,100,30000,20,26,Adaptive_IHT,0.3321795926361472,1.5049469470977783
3,100,30000,20,26,Partial_Sparse_Simplex,0.5639649098756164,23.310917854309082
3,100,30000,20,27,IHT,4.00325973924504,39.09689497947693
3,100,30000,20,27,Adaptive_IHT,0.680881681583813,2.2988789081573486
3,100,30000,20,27,Partial_Sparse_Simplex,0.9950995193751003,22.58026099205017
4,100,50000,5,23,IHT,2.9127850924692065,62.92743515968323
4,100,50000,5,23,Adaptive_IHT,2.633210585832399e-10,3.1299030780792236
4,100,50000,5,23,Partial_Sparse_Simplex,0.1506967639954961,4.932147026062012
4,100,50000,5,24,IHT,9.742159897572392,61.20802712440491
4,100,50000,5,24,Adaptive_IHT,3.1723010871326607,2.782210111618042
4,100,50000,5,24,Partial_Sparse_Simplex,2.6301255760631337,5.302371025085449
4,100,50000,5,25,IHT,3.342887607071358,62.615772008895874
4,100,50000,5,25,Adaptive_IHT,0.6140524778531881,2.2884960174560547
4,100,50000,5,25,Partial_Sparse_Simplex,0.5257974793616765,2.723417043685913
4,100,50000,5,26,IHT,2.5969882310269803,61.10801696777344
