group_id,dataset,m,n,s,seed,method,UB,Time (s),SGap (%)
1,a5a,6414,123,5,23,AGP,0.37584788353294424,0.2098221778869629,0.0
1,a5a,6414,123,5,23,IHT,0.38410423932566323,3.0296499729156494,2.196143708838167
1,a5a,6414,123,5,23,PSS,0.3892422554743097,1.4569458961486816,3.5628267980904065
1,a5a,6414,123,5,24,AGP,0.37584788351120935,0.22137212753295898,1.0598069184153613
1,a5a,6414,123,5,24,IHT,0.38408439928934845,3.2664849758148193,3.27389224972539
1,a5a,6414,123,5,24,PSS,0.37190534512668183,3.877735137939453,0.0
1,a5a,6414,123,5,25,AGP,0.39405621665164947,0.6185951232910156,3.535196821099916
1,a5a,6414,123,5,25,IHT,0.5037923246460717,2.9538309574127197,32.36018818137873
1,a5a,6414,123,5,25,PSS,0.38059780012367983,5.071394920349121,0.0
1,a5a,6414,123,5,26,AGP,0.3758478835733916,0.2324509620666504,1.0598251231674767
1,a5a,6414,123,5,26,IHT,0.4332602584430825,2.683743953704834,16.493040251519254
1,a5a,6414,123,5,26,PSS,0.3719052781757757,4.378178834915161,0.0
1,a5a,6414,123,5,27,AGP,0.3805977231249008,0.3949098587036133,2.3366051790432008
1,a5a,6414,123,5,27,IHT,0.5205815524027024,2.64607310295105,39.96611803944194
1,a5a,6414,123,5,27,PSS,0.3719054250957909,5.2941999435424805,0.0
2,a5a,6414,123,10,23,AGP,0.3488511787423176,4.576645851135254,0.0
2,a5a,6414,123,10,23,IHT,0.3758307014806276,3.5643630027770996,7.731603840843588
2,a5a,6414,123,10,23,PSS,0.34900056039161026,9.329557180404663,0.042808753313594565
2,a5a,6414,123,10,24,AGP,0.3559157374448995,1.963620901107788,0.0
2,a5a,6414,123,10,24,IHT,0.36731210103627165,2.841533899307251,3.2010842198052973
2,a5a,6414,123,10,24,PSS,0.3606730145546843,16.34304714202881,1.3362547239982838
2,a5a,6414,123,10,25,AGP,0.35216958926680886,4.588079214096069,0.0
2,a5a,6414,123,10,25,IHT,0.3587399574503917,2.8536767959594727,1.865153389271553
2,a5a,6414,123,10,25,PSS,0.3631924470765846,13.558802127838135,3.1290971873893536
2,a5a,6414,123,10,26,AGP,0.34885053061968685,4.60181999206543,0.0
2,a5a,6414,123,10,26,IHT,0.3724662612149217,3.3547589778900146,6.767644271323118
